,user_mentions,favorites_users
0xBoomerDoomer,1.0,1.0
0xCY_,1.0,1.0
0xJobin,1.0,1.0
0xPolygon,4.0,1.0
0xRadar,1.0,1.0
0xStryker,2.0,1.0
0xTGC,1.0,1.0
0x_angler,2.0,1.0
0xtuba,1.0,1.0
100XCryptoGem,2.0,2.0
100trillionUSD,1.0,1.0
1goonrich,12.0,9.0
1lunaaaa,1.0,1.0
5ireChain,2.0,1.0
930Kremer,1.0,1.0
A100888,1.0,2.0
AJ_cryptoo,1.0,1.0
AP,1.0,1.0
APompliano,2.0,3.0
ARonalgor,1.0,1.0
ATNuclear_NFT,1.0,1.0
Abou_Sidra_,1.0,1.0
AdamEShelton,3.0,1.0
AdorableHeroes,1.0,1.0
AirpayFinance,5.0,5.0
Aishatu__Gimba,1.0,1.0
Ajoobz,1.0,1.0
AkinoInuGlobal,2.0,2.0
Aldo7412,1.0,1.0
AlexNodeLife,1.0,1.0
Alf_alf_a,1.0,1.0
AlgodTrading,3.0,1.0
AlgogemShillers,1.0,1.0
AltCryptoGems,5.0,8.0
AltGemHunter,1.0,2.0
AltcoinDailyio,8.0,6.0
AltcoinGordon,3.0,9.0
AltcoinWorldcom,2.0,3.0
Altcoin_Mark,2.0,1.0
AmboGhostie,1.0,1.0
AncientKingNft,3.0,1.0
AndikaKannazuki,1.0,1.0
Andrew92SG,1.0,1.0
AndromedaToadz,2.0,1.0
AngelicTheGame,1.0,1.0
AnmsNft,1.0,1.0
ApeFundOfficial,1.0,1.0
ApesWorld_Web3,1.0,1.0
Apple,1.0,1.0
Aquib370,1.0,1.0
Aras2KRG,1.0,1.0
ArchanNair,1.0,1.0
ArchieNeko_,1.0,1.0
ArtvisionNFT,1.0,1.0
AshleyDCan,2.0,2.0
AshwinBadri2,1.0,1.0
AstroShitCoin,1.0,1.0
AtlasCloud__,1.0,1.0
AugmentedUniver,2.0,1.0
AurelienOhayon,1.0,1.0
AuzsomeAustin,1.0,2.0
AxlToken,3.0,1.0
BAYC2745,2.0,1.0
BKEXGlobal,1.0,1.0
BKL1023,1.0,1.0
BNBCHAIN,2.0,4.0
BNBShiba,2.0,1.0
BSCCatBoy,1.0,1.0
BSCGemAlert,1.0,5.0
BSCGemsAlert,6.0,5.0
BSCGemsx100,1.0,4.0
BSCGrimaceCoin,3.0,3.0
BTCTN,1.0,2.0
BTC_Archive,5.0,5.0
BUSDBuffet,2.0,1.0
BabyCatcoinBSC,1.0,2.0
BabyDogeCoin,7.0,1.0
BabyDogeGem,1.0,1.0
BabyDogeReports,1.0,2.0
BabyWhaleOF,2.0,1.0
BackstageBks,1.0,1.0
BadassApeNC,1.0,1.0
Bagremaraz,1.0,1.0
BahmanBagheri11,1.0,1.0
BalaNft,1.0,1.0
BananaTFA,1.0,1.0
Bang_Garr,1.0,3.0
BarudakBitcoin,1.0,1.0
BeastBullClub,1.0,1.0
Beeyonders,1.0,1.0
BenCaselin,1.0,1.0
BetDaoOfficial,3.0,3.0
BigShibaInu,2.0,1.0
BillyM2k,2.0,2.0
BirdBroToken,1.0,1.0
Biswap_Dex,1.0,1.0
BitMartResearch,1.0,1.0
BitRivals,1.0,1.0
BitcoinFear,3.0,4.0
BitcoinMagazine,10.0,8.0
Blockworks_,3.0,6.0
Boar_War_NFT,2.0,2.0
Bobatama,11.0,4.0
BodaToken,1.0,2.0
BoredApeYC,2.0,1.0
BoredOtterClub,1.0,1.0
Bozumon,1.0,1.0
Breach_GG,1.0,1.0
BrianDColwell,1.0,1.0
BronzedCrypto,1.0,2.0
Brooks92266313,1.0,1.0
BrosManager,1.0,1.0
BscGemSniper,1.0,3.0
BscGemx100,1.0,1.0
BscProjectOrg,2.0,1.0
BulbFi,2.0,1.0
Bushido_Society,8.0,4.0
Bybit_Official,2.0,1.0
CAR_DAO1,2.0,1.0
CATMuskCoin,3.0,1.0
CRE8RDAO,1.0,1.0
CRYPTOCHARlZARD,1.0,1.0
CalaxyApp,1.0,1.0
CargoLinkCLX,4.0,1.0
CarniClemenza,1.0,1.0
CashBro_303,1.0,1.0
Cashbro100x,1.0,1.0
CatFunToken,2.0,2.0
CatMetis,1.0,1.0
Catcoinbsc,2.0,1.0
CatsRaceBSC,4.0,2.0
CatwitchCoin,1.0,1.0
CeladonCoin,1.0,1.0
ChadCaff,1.0,1.0
ChainWarsgg,1.0,1.0
CheemsInu,9.0,4.0
ChinaPumpWXC,6.0,2.0
ChoiceCoinAlgo,1.0,1.0
ChoiceCoinDAO,1.0,1.0
Chrisss_sol,1.0,1.0
ChronicDetecti2,1.0,1.0
CityMonks,1.0,1.0
ClimeToken,1.0,1.0
Cnote203,2.0,2.0
Coin98Analytics,1.0,1.0
CoinDesk,1.0,1.0
CoinMarketCap,10.0,8.0
Cointelegraph,1.0,1.0
CometCalls,9.0,10.0
CompBrosCrypto,1.0,3.0
ConnectorCoin,2.0,1.0
CrayonKevinNFT,1.0,1.0
CredibleCrypto,1.0,2.0
CropBytes,1.0,1.0
CrossTheAges,1.0,1.0
CrowdFiETH,1.0,1.0
Cruise__NFT,1.0,1.0
CrypGenix,1.0,1.0
Crypt0_Dr43ms,1.0,2.0
Crypt0kyuubi,1.0,1.0
Crypt_o_Rico,1.0,1.0
Cryptic_Maestro,3.0,3.0
CryptoBarnuts,1.0,1.0
CryptoCommandr,1.0,2.0
CryptoDefiGems,1.0,1.0
CryptoDiffer,1.0,2.0
CryptoDuffleBag,1.0,1.0
CryptoFamilyOz1,1.0,1.0
CryptoGareth369,1.0,1.0
CryptoGem_15,1.0,1.0
CryptoGems001,2.0,1.0
CryptoGemsCom,4.0,3.0
CryptoGemsNinja,1.0,1.0
CryptoGenie99,1.0,1.0
CryptoGirlNFT_,1.0,1.0
CryptoGreyy,1.0,1.0
CryptoGrizman,1.0,2.0
CryptoLadyNinja,1.0,2.0
CryptoLokii,1.0,1.0
CryptoMANjiiro1,1.0,1.0
CryptoMaxine,2.0,2.0
CryptoMichNL,2.0,2.0
CryptoPopBrand,2.0,2.0
CryptoPoseidonn,1.0,1.0
CryptoRank_io,1.0,1.0
CryptoRhum,1.0,1.0
CryptoSavingExp,1.0,2.0
CryptoSuperApe,3.0,1.0
CryptoWhaleinfo,1.0,1.0
CryptoWizardd,1.0,2.0
Crypto_Penn,1.0,1.0
Crypto_ScottyT,1.0,1.0
Crypto_ZeroFi,3.0,1.0
Crypto_ladd,1.0,1.0
CryptoaaService,1.0,1.0
Cryptogemsguru,2.0,2.0
Cryptogeniusgem,1.0,1.0
Cryptolodian,1.0,1.0
Cryptonftgems,1.0,2.0
Cryptoscreen_en,1.0,1.0
CryptoverseVIP,1.0,1.0
Cwincapital,1.0,1.0
CyberVampsNFT,1.0,1.0
DANCEMONKEYBSC,1.0,1.0
DFSMAFIA99,1.0,2.0
DaCryptoGems,3.0,3.0
DaCryptoGeneral,4.0,4.0
DaCryptoWhale,1.0,2.0
DamilolaOlu,1.0,1.0
DammnThatsCrazy,1.0,1.0
DarkFrontiersGS,1.0,2.0
DarkSolArt,1.0,1.0
DarkforestNodes,1.0,1.0
DarrenPromoter,2.0,2.0
Darrenlautf,1.0,1.0
Davincij15,1.0,2.0
DazaiCrypto,1.0,1.0
Dcrypto25,1.0,1.0
DeFi_Horse,1.0,1.0
DeFiatoOfficial,1.0,1.0
DeGodsNFT,5.0,1.0
DeHealth_World,1.0,1.0
DeItaone,1.0,1.0
DeadKnight_SOL,3.0,1.0
DeadRejcts,1.0,1.0
DefiantLs,1.0,1.0
DegenFaragu,1.0,1.0
DegenHeroesNFT,1.0,1.0
Dennis_Porter_,3.0,1.0
Dentinmyhead,1.0,1.0
DiveWallet,2.0,1.0
DjPrestigeUk,1.0,1.0
DocumentingBTC,1.0,2.0
DogePunkBsc,3.0,1.0
DonMakaveliTv1,1.0,1.0
DoodledLlama,1.0,1.0
DopeVoyage,1.0,1.0
Doy1eee,1.0,1.0
DpadFinance,6.0,1.0
DragonEggGame,1.0,1.0
DrewCrypto101,1.0,1.0
DudiBrown,1.0,1.0
DxSpotOfficial,1.0,1.0
EPICBEASTnft,1.0,1.0
EXA_DARK_SIDE,3.0,2.0
Eagles,1.0,1.0
EarnElexir,2.0,1.0
Edenluucas1,1.0,1.0
EdwinYofrendy,1.0,1.0
Element_Market,1.0,1.0
Elizabe03699337,1.0,1.0
Eljaboom,5.0,5.0
ElvantisGame,1.0,1.0
Elypse2021,1.0,1.0
ElzWorthBentley,1.0,1.0
EmersonDickie,1.0,1.0
EsteNFT,1.0,1.0
Eterna_Hybrid,2.0,2.0
Eth_Promoter,1.0,1.0
EthernityChain,2.0,1.0
Euronin_io,2.0,2.0
EverRise,1.0,1.0
Everdome_io,1.0,1.0
ExLabsCo,1.0,1.0
FEGtoken,7.0,1.0
FLOOF_SOLANA,1.0,1.0
FOMOTheGameShow,1.0,1.0
FTMReaperOG,1.0,1.0
FTM_MAXI,1.0,1.0
FTX_Official,1.0,1.0
FannyXZN,1.0,1.0
FantasyRealmStu,1.0,1.0
FantohmDAO,1.0,1.0
FantomBOYbyVB,1.0,1.0
FantomFDN,4.0,1.0
FantomIAm,1.0,1.0
FantomPunks,1.0,1.0
FantomWatchNFTs,1.0,1.0
FhfcVamp,1.0,1.0
FinanceChainge,1.0,1.0
FireDoge_Team,1.0,1.0
FitScrypt,1.0,2.0
FlowerFamNFT,2.0,1.0
FossyGFX,1.0,1.0
FrancePrimexbt,2.0,2.0
Free_Patriot76,3.0,1.0
FrenchDegen,1.0,1.0
Future7772021,1.0,1.0
GHLtoken,1.0,1.0
GWSFinance,1.0,1.0
GalaxyHeroesGHC,4.0,2.0
Gem_Catcher_G,1.0,1.0
GemlinkT,2.0,1.0
GemsAndGoblins,2.0,2.0
GemsFinderr,1.0,1.0
GemsScope,3.0,2.0
Gemx10000,1.0,2.0
Geopoly_Game,1.0,1.0
GetDolphin,1.0,1.0
GinaPalmerinArt,1.0,1.0
GirlsRidingNFT,1.0,1.0
GlazeCrypto,2.0,3.0
GoCryptoMeCoin,1.0,2.0
GoldenBearNFT,1.0,1.0
GoldenBrosNM,3.0,1.0
Grandbazario,1.0,1.0
GreatMasquerade,1.0,1.0
GrimaceHodler,1.0,1.0
GroveToken,2.0,1.0
GuinyPromotes,1.0,1.0
HGTPMichael,1.0,2.0
HainoRuler,2.0,1.0
HanzoHasashiOf1,1.0,1.0
Heatherfernsby,1.0,1.0
HelloAnimverse,2.0,1.0
HemingwayClint,1.0,1.0
HeroBookGlobal,1.0,1.0
HeroesChained,3.0,1.0
Heto_finance,1.0,1.0
HiBIGG7,1.0,1.0
HiBlockTalks,1.0,1.0
HiNeighbours,1.0,1.0
Hiraeth_1726,1.0,1.0
HordeTweets,2.0,2.0
HorsesxWolves,1.0,1.0
Hotbit_news,1.0,2.0
HouseOfFinns,1.0,1.0
HungoverApesPC,1.0,1.0
HuobiGlobal,5.0,5.0
HuobiSg,1.0,1.0
HuobiWallet,1.0,1.0
Huobi_India,1.0,1.0
Husseinnn_A,1.0,1.0
HydraMeta_org,2.0,1.0
HydroBlockchain,1.0,1.0
IccyAj,1.0,1.0
IcedKnife,2.0,2.0
Imaginary_Ones,1.0,1.0
Imhotep_eth,1.0,1.0
ImmortalEth,1.0,1.0
InfiniteLaunch,1.0,1.0
InuKishu,6.0,2.0
InvsbleLanders,1.0,1.0
IsaacWootonn,1.0,1.0
JHarmsworth90,1.0,1.0
JOJOMetaverse,1.0,1.0
JakeGagain,2.0,1.0
JamesPelton18,1.0,2.0
JcThelate,1.0,1.0
JewelCrypt0,1.0,1.0
JiraiyaReal,2.0,1.0
Jjametwinctyx,1.0,1.0
JumperWave,1.0,1.0
JungleKingsNFT,1.0,1.0
KOAnft,1.0,1.0
KibaInuToMars,1.0,1.0
KimDotcom,1.0,1.0
KingsFantom,1.0,1.0
KlocNFT,1.0,1.0
Kommunitas1,1.0,1.0
KongTamaToken,1.0,5.0
KoolKidzArcade,1.0,1.0
KounotoriToken,1.0,1.0
KriptoCapris,1.0,1.0
Kristennetten,1.0,1.0
Krypto_masters,4.0,2.0
Kuncicoin_id,5.0,1.0
Kung_fu_Koalas,1.0,2.0
LaCryptoMonkey,1.0,1.0
LaGorditanum1,1.0,1.0
LadyofCrypto1,2.0,1.0
LayahHeilpern,1.0,1.0
Leyton,1.0,1.0
LilMoonLambo,3.0,1.0
LilTGems,1.0,1.0
LlegitB,1.0,1.0
LoonenJeffrey,1.0,1.0
LoopNetwork3,2.0,1.0
LotusGangNFT,1.0,1.0
Loulanweu,1.0,1.0
MDA0217,1.0,1.0
MDJClubNFT,3.0,1.0
MEXC_Global,6.0,2.0
MMCrypto,4.0,3.0
MMERR0314,1.0,1.0
MMInuOfficial,1.0,1.0
MOBOX_Official,1.0,1.0
M_a_xxx_83,1.0,1.0
MagicCraftGame,2.0,1.0
MaiaDAOMetis,1.0,1.0
Makanai100,1.0,1.0
MandaKongETH,4.0,1.0
MarrtyMcFlyy,1.0,1.0
MarsAtlass,1.0,1.0
MartiniGuyYT,4.0,5.0
Marvin_Inu,1.0,1.0
MattWallace888,1.0,1.0
McDonalds,4.0,1.0
Mdoubleok163,1.0,1.0
MeMaToken,2.0,1.0
MechaChain,1.0,1.0
MelissaRowley,1.0,1.0
MemeTowers,7.0,3.0
MeowC_Official,1.0,1.0
MesiPromotes_,1.0,1.0
MetaApeGang,1.0,1.0
MetaCashBSC,1.0,1.0
MetaCoast,1.0,1.0
MetaGamingGuild,1.0,1.0
MetaKongBSC,5.0,4.0
MetaRaccoon,1.0,1.0
MetaTriads,4.0,1.0
MetagreysNFT,1.0,1.0
Metaminecraft1,1.0,1.0
MetisDAO,5.0,2.0
Micro_tuber,2.0,1.0
Midas_DAO,3.0,1.0
MikeMAXRtoken,1.0,1.0
MindProtocol,3.0,2.0
MinesOfDalarnia,1.0,1.0
Miraz_Aslan,1.0,2.0
Missypromotes,2.0,1.0
ModernSociety33,1.0,1.0
Mohamad81440902,1.0,1.0
MojitoSwap,1.0,1.0
Monkeyf1sh,1.0,1.0
Monsta_Infinite,1.0,1.0
Monster_Saga,1.0,2.0
MoonDogeswap,1.0,1.0
MoonMetaverse_,2.0,1.0
MoonMoonGems,1.0,1.0
MrBeast,1.0,1.0
MrEthPromoter,1.0,1.0
MrNFTexpert,1.0,1.0
MummyPunks,1.0,1.0
MustafaAdanal02,1.0,1.0
N3ighborsNFT,1.0,1.0
N3twrkNFT,1.0,1.0
NASA,1.0,1.0
NEKOBNB,1.0,1.0
NFTCLICK,1.0,1.0
NFTCLICK_DROPS,1.0,1.0
NFTUndrGround,1.0,1.0
NFTshawty,1.0,1.0
NF_s_Teve,1.0,1.0
Nafwyd,1.0,1.0
NetVRk1,1.0,1.0
Nettarenft,1.0,1.0
NeuralPepe,1.0,1.0
Next100XGEMS,4.0,1.0
NoMo_NorMo,1.0,1.0
NoMonkeyBusine4,1.0,1.0
NobodyCaribou,1.0,1.0
NodeBaron,1.0,1.0
NodeSenpai,1.0,1.0
NomadExiles,1.0,1.0
Nopenopenope991,1.0,1.0
NyanCatCoin_BSC,1.0,1.0
ONGGstudio,1.0,1.0
Odin99U,1.0,1.0
OfTheNightClub,1.0,1.0
OfficialBLOKPAD,1.0,1.0
OfficialTravlad,8.0,15.0
OhHaiAndy,1.0,1.0
OhmieStronghodl,1.0,1.0
OilzFinance,2.0,1.0
OkBeary,1.0,1.0
Oncryptobreak,1.0,1.0
OniiEth,1.0,1.0
OnyxTokenBSC,1.0,2.0
Orbitauofficial,1.0,1.0
OzRemihana,1.0,1.0
P2Eaddict,1.0,1.0
PBuutvrij,1.0,1.0
POWERCITYio,2.0,1.0
PPathole,2.0,3.0
PadAcme,1.0,1.0
PancakeSwap,10.0,3.0
PandaGirlToken,1.0,1.0
Phrankie_Luna,1.0,1.0
PictureDayNFT,1.0,1.0
PitDogeOfficial,1.0,1.0
PixelBandsNFT,1.0,1.0
PixelGorillaClb,1.0,1.0
PlantPalsGH,1.0,1.0
PlayAscenders,1.0,1.0
PlayerOneWorld,2.0,2.0
PrimeBunnyPBP,1.0,1.0
ProtonXPR,1.0,1.0
QANplatform,1.0,1.0
QE_society,2.0,1.0
QuantumEraNFT,2.0,1.0
RAFAELA_RIGO_,2.0,1.0
Radomir_West,1.0,1.0
RaidersTomb,1.0,1.0
Ralvero,2.0,4.0
RapidMoonBSC,1.0,1.0
RareFinance,1.0,1.0
RaydiumProtocol,3.0,1.0
RealFlokiCat,4.0,3.0
RealMetaRivals,1.0,1.0
RebelsMansion,1.0,1.0
