,screen_name,name,verified,created_at,age,age_days,url,description,links,follower_count,favourites_count,avg_likes_last_5,avg_rt_last_5,user_mentions_last_5
82,B00bFinance,B00B Finance,False,2022-02-25 16:51:45+00:00,12 days 12:58:08.004971,12,https://t.co/kiZwDt3lKW,"The only Tomb fork with a real use case for its peg token; join us to change the industry.

Genesis at 12:00 UTC on March 4; PRESTAKE NOW!",[],577,22,8.6,2.6,"['farm_matrix', 'piggy_finance', 'mysexualmastery', 'tfarris']"
83,aurories__,Aurories,False,2021-12-21 16:58:41+00:00,78 days 12:51:12.375189,78,,"Proud to be Aurorians 

Insights, knowledge and opportunities on Aurora #buildonNEAR",[],466,71,0.0,12.6,"['aurigami_PLY', 'insights_near', 'NEARProtocol', 'NEARWEEK', 'Paradox_DAO', 'auroraisnear', 'ChainDebrief', 'trisolarislabs']"
84,chainblog_io,chainblog,False,2021-12-19 11:23:14+00:00,80 days 18:26:39.743062,80,https://t.co/hrsE7TWrRU,"Write your blogs as NFTs and own them forever. 👀
NFT blogging platform on Polygon Network 💜 
Early Access

Join our community  → https://t.co/wImk29UnmI",['https://t.co/wImk29UnmI'],327,31,2.2,0.4,[]
85,0xPlanet,Planet Labs 🌎,False,2022-03-02 16:06:16+00:00,7 days 13:43:38.067703,7,https://t.co/ef5pYmT3d7,"Fastest, Cheapest, Most Efficient DEX on @EvmosOrg and Cosmos

Bringing Curve ⚔️ onto Evmos and Cosmos Ecosystem

Join us: https://t.co/zzuQgXKvmi",['https://t.co/zzuQgXKvmi'],548,8,9.4,1.2,[]
86,niftyswap_io,niftyswap,False,2022-02-21 11:02:14+00:00,16 days 18:47:40.321243,16,,"Instantly sell and buy blockchain collectibles.
Fully decentralized marketplace for Web3 collectibles.
Soon™️  Built by @0xHorizonGames 💜",[],219,0,0.0,0.0,[]
87,unicornnodes,Unicorn Nodes,False,2022-03-02 16:32:39+00:00,7 days 13:17:15.610412,7,https://t.co/WZNwIjmHND,Unicorn Nodes is a dairy money fork. Fly high with your unicorn node and earn $rainbow.,[],1277,52,14.6,7.2,"['Stonedpipez', 'MDBatu1', '0xKiil_am']"
88,moongateguild,Moongate,False,2021-12-07 05:57:25+00:00,92 days 23:52:29.980371,92,https://t.co/agk76ymgyu,a new dawn of gaming,[],221,0,0.0,0.0,[]
89,RarifyTech,Rarify,False,2022-02-11 17:21:31+00:00,26 days 12:28:24.311874,26,https://t.co/upLHQz20af,"On a mission to fuel the development of digital assets, by providing and simplifying access to the ownership economy",[],252,1,19.2,9.6,"['PanteraCapital', 'Cointelegraph', 'Forbes']"
90,crystal_fintech,Crystal Nodes,False,2022-02-15 10:31:00+00:00,22 days 19:18:55.621022,22,,"#NaaS protocol on #BSC
Own a crystal #Nodes and earn daily yields
#NFT with randomized rarity tier system
#Nodes implementing ERC721 norm

https://t.co/mtpB1T49PD",['https://t.co/mtpB1T49PD'],608,6,53.8,50.0,['crystal_fintech']
91,Asteroidsmoney,Asteroids Money,False,2022-03-03 08:50:19+00:00,6 days 20:59:36.971245,6,,First @tombfinance fork pegged to the price of 1 EVMOS @evmosorg floating in the cosmos. Comming soon.,[],502,2,51.75,37.0,"['spacefi_io', 'KinesisLabs', 'MidasCapita1', 'NovaDaoFinance', 'expanding_space', 'Asteroidsmoney', 'Exswapdotxyz', 'diffusion_fi', '0xAuron', 'EvmOSPunks', 'CronusFinance', 'coslend']"
92,AnzenFinance,Anzen Finance,False,2021-12-22 05:08:04+00:00,78 days 00:41:52.330829,78,https://t.co/KFFUh95ird,🏦 Perpetually scaling reserve pool with Sustainable Yield. Join us in transforming the future of credit. Join us on Discord: https://t.co/toa86NjnmJ,['https://t.co/toa86NjnmJ'],324,1,5.4,0.6,['Arne12_arn']
93,NexusDAODeFi,Nexus DAO,False,2022-01-16 16:16:06+00:00,52 days 13:33:50.680713,52,https://t.co/x5pNkOyxeZ,"The best NaaS + DaaS protocol on Avalanche with reflections and NFTs.
https://t.co/OjTMl9a6aq",['https://t.co/OjTMl9a6aq'],752,4,4.2,53.4,"['DegentlemanDeFi', 'BigMooseCrypto', 'TheJakeCrypto', 'CryptoDuffleBag', 'NexusDAODeFi']"
94,Avalon_nft,AVALON,False,2022-02-26 12:43:50+00:00,11 days 17:06:07.050640,11,,Banner NFT project with never-seen-before utilities | more info coming soon…,[],2905,2061,35.8,26.6,"['erik_parrisonn', 'Gd11316411Gd', 'KittyLizzie2', 'zhang1zc', 'Avalon_nft', 'toffuzz', 'mingcai53561538', 'MiracleAmber2', 'bucktick1217', 'Wale_OA', 'garyvee']"
95,3xcalibur_io,3xcalibur,False,2022-01-09 13:34:11+00:00,59 days 16:15:46.360608,59,,"For an idea that does not first seem insane, there is no hope.",[],389,0,0.0,0.0,[]
96,UnitZeroLabs,Unit Zero,False,2022-01-26 16:47:47+00:00,42 days 13:02:10.651034,42,https://t.co/ypraBWzjIQ,"Anonymous collective of researchers, engineers, and traders providing thoughts and opinions and all things crypto",[],500,13,0.8,18.8,"['0xRainandCoffee', '0xAyanami', '0xnyew', 'Darrenlautf', 'nftchance', 'UnitZeroLabs', 'drakedanner', 'mrjasonchoi']"
97,cosmofolio,CosmoFolio ⚛️,False,2022-02-19 13:03:45+00:00,18 days 16:46:13.050365,18,,"Multichain web wallet dedicated to @cosmos ecosystem ⚛️
Enjoy a panoramic view of your wallets!",[],642,10,0.6,0.0,"['akashnet_', 'ComdexOfficial', '_rustler_', 'BitCannaGlobal', 'hdac_rizon', 'refinedguides', 'ChihuahuaChain', 'OmniFlixNetwork', 'starname_me', 'yameharry', 'istrudel74', 'BitSongOfficial', 'StargazeZone', 'microtick_zone', 'osmosiszone']"
98,notifi_network,notifi.network,False,2022-01-12 16:35:46+00:00,56 days 13:14:12.410931,56,https://t.co/bYfkMNhnpS,We are a two-way communication tool for dapps to engage with their users in the Web3 world. Join our Discord : https://t.co/vUpZF8bcc3,['https://t.co/vUpZF8bcc3'],455,48,2.6,0.2,"['TheMagicDAO', 'mccannatron', 'sidazhang', 'MagicEden_NFT', '1paulkim']"
99,ETHDownUnder,ETHDownUnder,False,2022-02-15 00:36:54+00:00,23 days 05:13:04.795346,23,https://t.co/BzfpFzTCd5,"the biggest web3 conference in the southern hempishere 🐨 🦘 🪃

sydney // dec 2022 // by @dao_under",[],214,70,5.2,0.2,"['BanklessHQ', 'sidbpowell', 'pat_mcnab', 'maplefinance', 'Immutable', 'TracerDAO', 'DegenAlphaOnly', 'kaiynne', 'synthetix_io', '0xferg']"
100,Asteroidsmoney,Asteroids Money,False,2022-03-03 08:50:19+00:00,6 days 20:59:40.141036,6,,First @tombfinance fork pegged to the price of 1 EVMOS @evmosorg floating in the cosmos. Comming soon.,[],502,2,51.75,37.0,"['spacefi_io', 'KinesisLabs', 'MidasCapita1', 'NovaDaoFinance', 'expanding_space', 'Asteroidsmoney', 'Exswapdotxyz', 'diffusion_fi', '0xAuron', 'EvmOSPunks', 'CronusFinance', 'coslend']"
101,FlashmintNFT,⚡️Flashmint,False,2022-02-27 21:09:43+00:00,10 days 08:40:16.480816,10,https://t.co/d8O4urLX7V,"Mint your NFT from the presale, even if you don't have whatever they're gating on.",[],155,37,1.8,0.0,"['therealjfrantz', 'NFTfi', 'nnnnicholas', 'hypercastle_exp', 'uhr3al', 'onchainbaby', 'matto__matto']"
102,niftyswap_io,niftyswap,False,2022-02-21 11:02:14+00:00,16 days 18:47:45.791206,16,,"Instantly sell and buy blockchain collectibles.
Fully decentralized marketplace for Web3 collectibles.
Soon™️  Built by @0xHorizonGames 💜",[],219,0,0.0,0.0,[]
103,TheKevinToken,$KEVIN,False,2022-03-02 19:53:29+00:00,7 days 09:56:31.125605,7,https://t.co/e4r8aOYCaG,"More than just a meme, a Global Movement.

Contract: 0xc9f1b23074849d5d6de462af57dae5d3309a1ecc

https://t.co/HgRWQ3GBQU",['https://t.co/HgRWQ3GBQU'],3039,743,6.4,3.6,"['PixelKevinNFT', 'kevinsunnies', 'Pixelmon', 'kevinpunksnft', 'BabyKevinsNFT', 'TheKevinToken', 'Cool_Kevin_NFT', 'LisaHesketh3', 'Crypto_Kevins']"
104,rDEX_Finance,rDEX,False,2022-02-17 02:42:24+00:00,21 days 03:07:36.480748,21,https://t.co/aHbxwM3RmC,"A DEX for #rToken powered by @StaFi_Protocol: continuous liquidity for #rToken, lower #slippage, asymmetrical deposit and impermanence loss protection.",[],154,19,4.6,2.6,"['StaFi_Protocol', 'cryptocycler', 'Demurejsh', 'Kamiesheep']"
105,CrabadaTracker,"Crabada Tracker (🦀,🦀) 🔺",False,2022-02-22 06:05:16+00:00,15 days 23:44:44.810766,15,https://t.co/wfotEsyV0H,"A deep dive into the Kingdom of Crabada. 🦀🔺

Crabada Tracker is an interactive tool to track your activity in Crabada!",[],229,0,90.33333333333333,149.0,['PlayCrabada']
106,audioprime_io,Audio Prime,False,2021-12-28 21:32:15+00:00,71 days 08:17:46.160225,71,https://t.co/RXtcJEq7Pq,Data & Analytics for Audius,[],293,67,8.6,1.8,"['quantumv0id', 'BasstrickMusic', 'Sibewest', 'nextoblue', 'badmonraqass', 'mynameisjt_', 'CHUGGERS14', 'teamsalut', 'HODLMAN5', 'theonly4d', 'joseph_russsell', 'warpsound_ai', 'urldeath', 'Neenyoelefonte_', 'Alva_gomezz', 'kobijonz', 'OGCryptoLama', 'lunar_bridge', 'ignitercrdngs', 'AyoKiff', 'chypriann_music', 'Livin_Positive', 'Mile3210', 'vexxille', 'declaresmusic', 'humano_music', 'adamlutherx', 'emiliorojas', 'canyoujustask', 'onewoolong', 'InkNostalgia', 'wulirecords']"
107,rythmdao,Rythm - We're Hiring!,False,2022-02-26 20:06:38+00:00,11 days 09:43:23.480708,11,,"Leverage your $PLSX LP tokens, participate in isolated lending pools. Grab your WL spot today!

👉 https://t.co/wPBHM3kVJM",['https://t.co/wPBHM3kVJM'],62,15,7.4,5.8,[]
108,identity_20xy,Identity 20XY,False,2022-02-24 14:26:48+00:00,13 days 15:23:13.875621,13,https://t.co/aaAndJnzgL,Bring AR to the Blockchain,[],136,46,0.0,0.0,"['PurrnelopesCC', 'JRNYcrypto', 'joshbobrowsky', 'Zeneca_33', 'Galaxisxyz', 'MookieNFT']"
109,0xPlanet,Planet Labs 🌎,False,2022-03-02 16:06:16+00:00,7 days 13:43:46.211061,7,https://t.co/ef5pYmT3d7,"Fastest, Cheapest, Most Efficient DEX on @EvmosOrg and Cosmos

Bringing Curve ⚔️ onto Evmos and Cosmos Ecosystem

Join us: https://t.co/zzuQgXKvmi",['https://t.co/zzuQgXKvmi'],548,8,9.4,1.2,[]
110,PrawnSyndicate,P.R.A.W.N Syndicate,False,2022-02-26 02:03:19+00:00,12 days 03:46:43.580463,12,,"When @Fluf_world needs us, we answer the call…",[],550,25,45.6,9.4,"['aaronmcdnz', 'flufworld', 'metabloxx', 'seekers_xyz']"
111,thenothingsnft,The Nothings,False,2022-03-02 02:43:41+00:00,8 days 03:06:21.910421,8,https://t.co/HvKrRKccCP,Literally nothings.,[],1110,121,0.6,1.0,"['landon400000', 'EmmyShotIt', 'Henrae01', 'Web3Alerts', 'thenothingsnft']"
112,talesofphantom,Tales Of Phantom P2E,False,2022-02-17 16:09:12+00:00,20 days 13:40:51.296243,20,https://t.co/NWXv5T9dyS,"A brand new RPG P2E experience built on Fantom Network.

Launch date: 03/14/2022.

Join the community: https://t.co/mgb2Fu7HFX",['https://t.co/mgb2Fu7HFX'],1200,52,0.6,0.0,"['malikatif7866', 'DoyG0x', 'AndreCronje_dev', 'DoyGox', 'rodcacioli', 'Nexury_Oficial']"
113,Knn3Network,KNN3 Network,False,2022-02-16 04:20:07+00:00,22 days 01:29:56.720528,22,https://t.co/hBwdU4Qfxx,"A web3 topological graph network 
to discover the in-depth relationship among web3 users.",[],91,5,1.6,0.6,"['TreasuryRes', 'jonson009', 'poddbofficial', 'ethsign', 'impossiblefi', 'rss3_']"
114,EvmosCN,Evmos華語,False,2022-02-18 10:10:08+00:00,19 days 19:39:56.040400,19,,"Cosmos ⚛️ 的EVM 枢纽;
Discord 👾 https://t.co/PonJlL8hiY ;
官方華語TG✈︎社群：https://t.co/71hMdp3yZp","['https://t.co/PonJlL8hiY', 'https://t.co/71hMdp3yZp']",103,1,1.6,0.2,['crosnest_com']
115,MagnaCartaZone,MAGNA $CARTA,False,2022-02-19 22:18:03+00:00,18 days 07:32:01.410768,18,https://t.co/VZSOFSfptJ,"The bridge of the people. By the people. For the people.

Community | Economic Security | Multi-EVM",[],2155,776,15.4,1.6,"['x1knet', 'polka_chu', 'eblkronos', 'cryptotosis', 'ConeyDaddy']"
116,Avalon_nft,AVALON,False,2022-02-26 12:43:50+00:00,11 days 17:06:14.772537,11,,Banner NFT project with never-seen-before utilities | more info coming soon…,[],2905,2061,35.8,26.6,"['erik_parrisonn', 'Gd11316411Gd', 'KittyLizzie2', 'zhang1zc', 'Avalon_nft', 'toffuzz', 'mingcai53561538', 'MiracleAmber2', 'bucktick1217', 'Wale_OA', 'garyvee']"
117,drip_protocol,Drip Protocol 💧,False,2022-01-08 23:23:45+00:00,60 days 06:26:20.078577,60,https://t.co/MelYQ0vAX4,"A mobile-first trading platform built on Solana.

Participating in the @solana Riptide Hackathon",[],401,12,26.4,13.8,"['ProjectSerum', 'techiemax2', 'solana', 'cypherhat']"
118,shipshow_,The Ship Show 👾,False,2022-02-05 03:23:03+00:00,33 days 02:27:02.395975,33,,"@Twitter spaces talk show by @jump_ | Discussing DeFi, Featuring Builders | DM to be featured",[],494,29,7.2,3.6,"['stablekwon', 'KyleSamani', 'leng_thong', 'PythNetwork', 'KanavKariya', 'mdomcahill']"
119,InertiaProtocol,Inertia,False,2022-02-01 07:27:18+00:00,36 days 22:22:47.734843,36,,The one and only cash settled European options defi primitive on @solana,[],146,16,3.0,1.3333333333333333,"['friktion_labs', 'sidmvenkat']"
120,CaffeineFund,CaffeineFund,False,2022-02-06 15:36:49+00:00,31 days 14:13:17.084879,31,https://t.co/cp7L75Xm4o,Tomb fork on AVAX🔺. P2P Loans Coming Soon. KYC by PinkSale coming. Big things are happening. https://t.co/uYCxONxvtU,['https://t.co/uYCxONxvtU'],3002,42,1.4,0.2,"['Meta_Realm', 'SolrDao', 'TheDreamOfReti1', 'ApeOClock', 'OfficialTravlad', 'rovercrc']"
121,void__runners,Void Runners,False,2021-12-07 15:11:03+00:00,92 days 14:39:03.464909,92,https://t.co/fVvOeMu6Kn,,[],269,54,8.0,2.8,[]
122,bilidlyexchange,Bilidly.exchange,False,2022-02-27 11:24:53+00:00,10 days 18:25:13.754942,10,https://t.co/YMpwMEmJic,"🤖||🦧

Next generation ve(3,3) DEX for Binance Smart Chain

https://t.co/0OBfqMzxXe
https://t.co/SiUXBKZvud","['https://t.co/0OBfqMzxXe', 'https://t.co/SiUXBKZvud']",1441,0,2.2,0.4,"['zachxbt', 'theasianplayboy', 'RektHQ']"
123,DahlysArt,Dahlys,False,2022-02-10 01:45:54+00:00,28 days 04:04:13.095166,28,,"A collection of 2222 dreamers on #Solana inspired by the works and illustrations of our childhood stories | Earn $IMGN tokens

Discord closed  
Powered by Hydra",[],1759,22,189.0,79.0,[]
124,web3stat,Web3stat,False,2022-01-07 13:44:22+00:00,61 days 16:05:45.424593,61,https://t.co/aGz5M16YJc,"Building Guild 2.0: Blockchain Gaming Guild ⚔️ Decentralized Social Platform 

https://t.co/qyTguO2F0A",['https://t.co/qyTguO2F0A'],485,4,20.6,6.0,"['inurinternet', 'bridgeworld', 'TalesofElleria', 'SamuRiseNFT', 'LifeNFT_', 'Treasure_DAO', 'web3stat']"
125,quantumswap_,QuantumSwap ⚛️ - Evmos DEX,False,2022-02-15 13:52:31+00:00,22 days 15:57:36.836588,22,https://t.co/uz2pE50GRN,"A decentralized exchange for the entangled interchain. 
Powered by @EvmosOrg.",[],1683,11,6.4,21.0,"['profesorcryptoo', 'quantumswap_', 'EvmosOrg']"
126,AmberDAO_,Amber,False,2022-02-26 19:42:59+00:00,11 days 10:07:09.154849,11,,"Community-driven, privacy-preserving store of value token built on @SecretNetwork 

$Amber supply will be fair-dropped to $SCRT stakers",[],2628,4,121.0,23.6,[]
127,thethirdwebio,The Third Web,False,2022-02-08 23:47:58+00:00,29 days 06:02:10.525056,29,https://t.co/kisJELO5ut,"The Third Web is a community of crypto natives, NFT collectors and metaverse dwellers.",[],544,60,2.4,0.6,['ForrestGalt']
128,ramper_xyz,Ramper,False,2022-01-31 00:48:23+00:00,38 days 05:01:45.838172,38,https://t.co/Kj0ko1OSwh,Making web3 friendly to onramp the next billion users.,[],769,22,0.6,0.0,"['undeterrable', 'stablekwon', 'JustPicnic', 'bernie_tiiik', 'tiiik_money', 'Mac3pq', 'RG3KRR9s5roB6m2', 'hashed_official', '0xPolygon', 'terra_money']"
129,nft_playbook,NFT Playbook (nft-playbook.xyz),False,2022-02-16 19:17:22+00:00,21 days 10:32:47.164969,21,https://t.co/Gurk3YJkgR,The NFT Playbook is a comprehensive guide to empower NFT founders to launch quality NFT projects.,[],327,50,1.0,1.0,"['BanklessHQ', 'CryptoKeezi', 'nounsense_wtf', 'amiyoshimura_', 'nft_playbook', 'NGBxShpend', 'mikareyesss', '__mikareyes', 'FamConnNFT', 'EvaluateMarket', 'nounsdao', 'CryptoGucci']"
130,MohCreature,Moh Creature | Mint Coming Soon on $METIS,False,2022-02-16 19:22:26+00:00,21 days 10:27:43.494958,21,,"Decentralized store of value that can be claimed in the future through NFTs, Limited supply 6666 unique. On $METIS, 💎 Discord:https://t.co/F8xee9ZFBq",['https://t.co/F8xee9ZFBq'],219,3468,3.8,0.6,"['kamigamixnft', 'CreaturesTD', 'MetisDAO', 'BillyBobBaghold']"
131,SmolKevins,Smol Kevins,False,2022-02-27 06:38:13+00:00,10 days 23:11:56.814964,10,,"5555 Smol Kevins
Free Mint and Good vibes only 
#arbitrum
Discord coming soon......",[],2590,157,59.2,11.6,"['enjoyooooor', 'SmolbeansNFT', 'lebot691', 'BahaMatt242', 'TheLostDonkeys', 'litterkittens']"
132,PowerDungeon,Power Dungeon,False,2022-02-09 05:26:58+00:00,29 days 00:23:12.163717,29,https://t.co/0g2nU2MSLf,"Discord: https://t.co/8D40032udR
Telegram: https://t.co/8qVjZ5wPXq
Website: https://t.co/0g2nU2MSLf","['https://t.co/8D40032udR', 'https://t.co/8qVjZ5wPXq', 'https://t.co/0g2nU2MSLf']",432,6,12.2,13.0,"['empe_0', 'praise_pals', 'jtevelow', 'thunderockets', 'PowerDungeon']"
133,atlasminingdao,Atlas Mining DAO,False,2022-02-05 13:21:38+00:00,32 days 16:28:32.464786,32,,Launching soon! Making $MAGIC happen on Arbitrum.,[],136,0,0.0,0.0,[]
134,Evolidly,Evolidly,False,2022-02-11 13:45:34+00:00,26 days 16:04:36.795318,26,,"The first @solidlyexchange fork on #EVMOS.

Coming soon.",[],1855,1,1322.5,433.5,[]
135,raynlabs,Rayn,False,2022-02-17 00:43:49+00:00,21 days 05:06:22.104729,21,,Research and Development Studio. Team behind @module @decentralize and more.,[],221,2,5.333333333333333,3.6666666666666665,['module']
136,expanding_space,Expanding space⚛️ | NFT Marketplace on Evmos,False,2022-02-21 15:50:46+00:00,16 days 13:59:25.455021,16,https://t.co/AHNcv2JVbh,The first NFT marketplace on Evmos,[],850,28,2.6,0.2,"['pulsarfinance_', 'EvmosOrg', 'frensvalidator', 'keplrwallet', 'CryptoSaiz', 'cryptotosis', 'BasinProtocol', 'Evolidly', 'Fantastic_Swap', 'PerciFinance', 'Auroridly', 'BeanbagFi', 'gepaoletti', 'evmsolidly']"
137,PROOFplatform,PROOF,False,2022-02-21 01:45:52+00:00,17 days 04:04:19.780149,17,,"Create your own reflections token via the PROOF platform — it’s simple & secure. 

A @HackerlabsDAO project.",[],97,19,1.0,5.8,"['PROOFplatform', 'HackerlabsDAO', 'cryptofrog202', 'btc_sol']"
138,StraddleFi,Straddle Finance,False,2022-02-23 21:30:21+00:00,14 days 08:19:51.115049,14,,Delta-neutral exposure for both retail and institutional investors. #StradFi,[],56,0,0.0,0.0,[]
139,quantumswap_,QuantumSwap ⚛️ - Evmos DEX,False,2022-02-15 13:52:31+00:00,22 days 15:57:41.425297,22,https://t.co/uz2pE50GRN,"A decentralized exchange for the entangled interchain. 
Powered by @EvmosOrg.",[],1683,11,6.4,21.0,"['profesorcryptoo', 'quantumswap_', 'EvmosOrg']"
140,TheDeadCuties,DeadCuties (Airdrop claim is 12th of march),False,2021-12-10 09:21:14+00:00,89 days 20:28:58.754885,89,https://t.co/aj2VvYx7fl,"Upcoming collection of NFTs on Arbitrum ❤️|

Insta : https://t.co/tM2q8UY1zE",['https://t.co/tM2q8UY1zE'],2020,40,173.6,170.4,['arbitrum']
141,pleasrdevs,pleasrdevs,False,2021-12-31 00:00:40+00:00,69 days 05:49:33.074752,69,https://t.co/26RDPsygYS,"Web3 builders 💻  |  former web2 buildrs from Instagram, Lyft, Stripe.
@taipeicity_eth @metag33 @reichertjalex

DMs open",[],320,18,0.6,5.2,"['maciej_kuciara', 'shibuyaxyz', 'taipeicity_eth']"
142,Coterie_Capital,Coterie_Capital,False,2021-12-28 22:53:19+00:00,71 days 06:56:54.415203,71,https://t.co/7y7lzcLIV6,"The easiest way to launch and manage a DAO.

https://t.co/W0DwkTHKM8",['https://t.co/W0DwkTHKM8'],491,253,4.4,0.0,"['Coterie_Capital', 'SolidityFinance']"
143,invadermeerkat,InvaderMeerkat,False,2022-02-21 15:02:14+00:00,16 days 14:47:59.754827,16,,Fundamental analysis on crypto + insights/ramblings on blockchain/web3/metaverse,[],644,50,2.4,0.0,[]
144,Evolidly,Evolidly,False,2022-02-11 13:45:34+00:00,26 days 16:04:40.075135,26,,"The first @solidlyexchange fork on #EVMOS.

Coming soon.",[],1855,1,1322.5,433.5,[]
145,Unchainfund,"unchain.fund (🇺🇦, 🇺🇦)",False,2022-02-24 12:55:39+00:00,13 days 16:54:35.424805,13,https://t.co/Ct0Ohz5nI7,Unchain is a charity project created by blockchain activists to support Ukraine with humanitarian aid. #StandForUkraine,[],2098,204,0.0,4.4,"['avelykyy', 'maxsemenchuk', 'Unchainfund', 'commonsstack', 'IwasHereForUA', 'DEIP_World']"
146,smoltaleb,nassim,False,2022-02-26 01:58:41+00:00,12 days 03:51:33.804924,12,,#blackswan is imminent,[],2837,424,20.4,0.0,"['IamNomad', 'Dallas_Korben_', 'JackBeTrader', 'zhusu', 'RaoulGMI', 'mcbenis3']"
147,kevinmfers,kevinmfers,False,2022-02-27 17:59:14+00:00,10 days 11:51:01.114883,10,https://t.co/jgPsZoGJP7,"KevinMfers/Super Kevins by kevtoshi
Inspired by #mfers & #pixelmon. Not affiliated with #pixelmon

Holder's Discord: https://t.co/w6JKkZCJG6",['https://t.co/w6JKkZCJG6'],5845,1453,32.4,55.8,"['JiraMfers', 'kevinmfers', 'kevtoshiNFT', 'LlamaversePunks']"
148,0xPegasusFi,Pegasus Finance - Pega🦄,False,2021-12-06 05:14:04+00:00,94 days 00:36:11.465074,94,https://t.co/a2Yga08eTy,"A speculation-focused interest rate perp with novel tokenomics on Optimism. 
Testnet: https://t.co/lYTL9UgPI1
Discord: https://t.co/DZbGunaE8O","['https://t.co/lYTL9UgPI1', 'https://t.co/DZbGunaE8O']",1057,141,0.0,21.2,"['optimismPBC', 'hasncetiner', 'Mplengsangrai20', '0xPegasusFi', 'synthetix_io', 'Ruesandora0']"
149,PhaseDao,Phase Dao,False,2022-02-28 18:54:18+00:00,9 days 10:55:57.814844,9,,"A decentralized economy needs decentralized insurance. 

Discord: https://t.co/8uPJ0YeCUw",['https://t.co/8uPJ0YeCUw'],573,5,3.8,0.0,"['cryptaltd', 'anchor_protocol', 'OutletFinance', 'terra_money']"
150,unrekt_podcast,UnRektPodcast,False,2022-02-28 08:50:32+00:00,9 days 20:59:44.176120,9,https://t.co/SxArC00vlY,"Crypto Podcast - for investors, degens, founders, and thinkers! Alpha for bull markets and survival guides in bears. NOT FINANCIAL ADVICE.",[],51,0,12.0,3.0,"['LeslieisHODLing', 'unrekt_podcast', 'optimismPBC', 'lootproject']"
151,warandpeacexyz,Under Construction,False,2022-03-04 15:31:53+00:00,5 days 14:18:23.424360,5,,,[],5,0,0.0,0.0,[]
152,cypherdwallet,CypherD Wallet,False,2022-01-14 04:36:05+00:00,55 days 01:14:11.749091,55,https://t.co/HQKTXBKAPp,"Multi-Chain Non-Custodial Crypto Wallet & Debit Card 
Get approved instantly at https://t.co/lSYzIxGBEa!
Join us on Discord here -  https://t.co/UWNMtOiz1t","['https://t.co/lSYzIxGBEa!', 'https://t.co/UWNMtOiz1t']",297,16,5.6,6.2,"['solana', 'cosmos']"
153,B00bFinance,B00B Finance,False,2022-02-25 16:51:45+00:00,12 days 12:58:32.118734,12,https://t.co/kiZwDt3lKW,"The only Tomb fork with a real use case for its peg token; join us to change the industry.

Genesis at 12:00 UTC on March 4; PRESTAKE NOW!",[],577,22,8.6,2.6,"['farm_matrix', 'piggy_finance', 'mysexualmastery', 'tfarris']"
154,venethxyz,veneth,False,2022-02-08 14:26:51+00:00,29 days 15:23:26.438859,29,,Soon,[],71,0,0.0,0.0,[]
155,i_lldoitmyself,Thanoswap,False,2022-02-24 11:20:17+00:00,13 days 18:30:00.728878,13,https://t.co/Yrd3AUjQFd,"A better AMM on @zkSync, designed to provide a sustainable & competitive yield while minimizing fee & slippage for traders",[],321,5,2.2,1.4,"['LevxApp', '0xthanos', 'i_lldoitmyself']"
